parent_company_name,child_company_name
FORD MOTOR CO,FORD CREDIT AUTO OWNER TRUST 2007-A
COMCAST CORP,"TURNER PICTURES GROUP, INC. /"
COMCAST CORP,TIME INC. HOME ENTERTAINMENT /
FIFTH THIRD BANCORP,"FIFTH THIRD AUTO FUNDING, LLC"
WELLS FARGO & CO,MPB INVESTMENT TRUST
COMCAST CORP,WARNER BROS. CONSUMER PRODUCTS INC/
KINDER MORGAN INC,NASSAU TERMINALS LLC
BALL CORP,BALL CAPITAL CORP. II
ALCOA INC,"PIMALCO, INC"
WELLS FARGO & CO,ROHM AND HAAS ELECTRONIC MATERIALS LLC
BEST BUY CO INC,"BEST BUY STORES, L.P."
KINDER MORGAN INC,"KINDER MORGAN MATERIALS SERVICES, LLC"
COMCAST CORP,"THIS OLD HOUSE VENTURES, INC. /"
KINDER MORGAN INC,KINDER MORGAN LIQUIDS TERMINALS ST. GABRIEL LLC
COMCAST CORP,"THE WB 100+ STATION GROUP PARTNERS, L.P. /"
KINDER MORGAN INC,KINDER MORGAN SEVEN OAKS LLC
WELLS FARGO & CO,STOHAAS MANAGEMENT GMBH
AMERICAN EXPRESS CO,"AMERICAN EXPRESS RECEIVABLES FINANCING CORPORATION III, LLC"
KINDER MORGAN INC,KINDER MORGAN PRODUCTION COMPANY LLC
CITIGROUP INC,CRAMER FINANCE LLC
KINDER MORGAN INC,KINDER MORGAN CRUDE OIL PIPELINES LLC
RAYTHEON CO,"ESY EXPORT COMPANY, INC"
WELLS FARGO & CO,FDS LIQUIDATION CORPORATION
KINDER MORGAN INC,PECOS CARBON DIOXIDE TRANSPORTATION COMPANY
KINDER MORGAN INC,SRT VESSELS LLC
COMCAST CORP,"QUACK.COM, INC. /"
FORD MOTOR CO,FORD CREDIT AUTO OWNER TRUST 2008-A
KINDER MORGAN INC,KINDER MORGAN PIPELINE LLC
MORGAN STANLEY,"DUTCHESS ELECTRIC FACILITY, INC"
COMCAST CORP,SUNSET PUBLISHING CORPORATION /
WELLS FARGO & CO,PENINSULA BANK OF COMMERCE
COMCAST CORP,"TURNER PICTURES GROUP, INC/"
CITIGROUP INC,CITIGROUP FINANCE LLC
WELLS FARGO & CO,"NIPPON BEE RESEARCH AMERICA, INC"
ALCOA INC,"ALCOA CLOSURE SYSTEMS INTERNATIONAL, INC"
COMCAST CORP,"TIME WARNER CABLE SAN ANTONIO, L.P."
DOW CHEMICAL CO,EL DORADO TERMINALS COMPANY
COMCAST CORP,WEA INTERNATIONAL INC. /
COMCAST CORP,WARNER BROS. TELEVISION PRODUCTION INC/
WELLS FARGO & CO,ROHMNOVA LLC
KINDER MORGAN INC,TRAILBLAZER PIPELINE COMPANY LLC
COMCAST CORP,OMI LLC/
KINDER MORGAN INC,KINDER MORGAN AMORY LLC
KINDER MORGAN INC,TRANSCOLORADO GAS TRANSMISSION COMPANY LLC
COMCAST CORP,WARNER BROS. ONLINE INC/
BEST BUY CO INC,"BBY NETWORKS, INC"
WELLS FARGO & CO,"MORTON YOKOHAMA, INC"
COMCAST CORP,"AMERICA ONLINE, INC/"
ALCOA INC,EASTALCO ALUMINUM COMPANY
CITIGROUP INC,"CITIGROUP ALTERNATIVE INVESTMENTS GP, LLC"
KINDER MORGAN INC,KINDER MORGAN MARINE SERVICES LLC
MORGAN STANLEY,TRANSMONTAIGNE SERVICES INC
MORGAN STANLEY,MORGAN STANLEY PETROLEUM DEVELOPMENT LLC
DOW CHEMICAL CO,ANGUS CHEMICAL COMPANY
WELLS FARGO & CO,ROHM AND HAAS CAPITAL CORPORATION
KINDER MORGAN INC,EXPRESS US HOLDINGS LP
COMCAST CORP,INC/
COMCAST CORP,TIME WARNER CABLE LLC
FORD MOTOR CO,FORD CREDIT AUTO OWNER TRUST 2006-B
JOY GLOBAL INC,P&H MINEPRO WORLD SERVICES CORPORATION
COMCAST CORP,NEW LINE CINEMA CORPORATION/
COMCAST CORP,"MAPQUEST, INC/"
WELLS FARGO & CO,SOUTHWEST COMMUNITY STATUTORY TRUST I
WELLS FARGO & CO,SJNB INVESTMENT TRUST
COMCAST CORP,TIME WARNER BOOK GROUP INC/
PROGRESSIVE CORP,PROGRESSIVE GARDEN STATE INSURANCE COMPANY
COMCAST CORP,"LITTLE, BROWN AND COMPANY (INC.)/"
KINDER MORGAN INC,PLATTE PIPE LINE COMPANY
COMCAST CORP,WARNER INDEPENDENT PICTURES INC
KINDER MORGAN INC,"GULF ENERGY GATHERING & PROCESSING, LLC"
COMCAST CORP,"ATLANTA HOCKEY CLUB, INC/"
COMCAST CORP,"TURNER BROADCASTING SYSTEM INTERNATIONAL, INC/"
WELLS FARGO & CO,LUCINI/PARISH INSURANCE INC
COMCAST CORP,"HAWKS BASKETBALL, INC/"
KINDER MORGAN INC,KINDER MORGAN FINANCE COMPANY LLC
COMCAST CORP,WARNER BROS. ENTERTAINMENT INC/
CINTAS CORP,"CINTAS C.V. HOLDINGS, LLC"
DANAHER CORP,"TEKTRONIX EXPORT, INC. (OREGON)"
MORGAN STANLEY,"COASTAL FUELS MARKETING, INC"
COMCAST CORP,ROAD RUNNER HOLDCO LLC
COMCAST CORP,TIME DISTRIBUTION SERVICES INC. /
WELLS FARGO & CO,ABD INSURANCE & FINANCIAL SERVICES
COMCAST CORP,WARNER BROS. INTERNATIONAL TELEVISION /
MASCO CORP,BENCHMARK KITCHEN & BATH DESIGN STUDIOS INC
COMCAST CORP,BUSINESS 2.0 MEDIA INC. /
WELLS FARGO & CO,COAST COMMERCIAL BANK
KINDER MORGAN INC,ELIZABETH RIVER TERMINALS LLC
COMCAST CORP,"TURNER BROADCASTING SYSTEM LATIN AMERICA, INC/"
COMCAST CORP,SUNSET PUBLISHING CORPORATION/
WELLS FARGO & CO,ROHM AND HAAS VERMONT COMPANY
COMCAST CORP,MAGAZINE RETAIL ENTERPRISES INC/
COMCAST CORP,WARNER BROS. INTERNATIONAL CINEMAS INC/
COMCAST CORP,WARNER BROS. THEATRICAL ENTERPRISES LLC/
COMCAST CORP,MONOLITH PRODUCTIONS INC/
JOY GLOBAL INC,"HCHC, INC"
COMCAST CORP,ALTERNATIVE DISTRIBUTION ALLIANCE /
WELLS FARGO & CO,"PACIFIC NORTHWEST INSURANCE AGENCY, INC."
DANAHER CORP,"TEKTRONIX INTERNATIONAL, INC. (OREGON)"
COMCAST CORP,"TURNER NETWORK SALES, INC/"
COMCAST CORP,WARNER BROS. (SOUTH) INC/
COMCAST CORP,"TURNER SPORTS, INC/"
EXXON MOBIL CORP,CROSS TIMBERS TRADING COMPANY
MORGAN STANLEY,DEAN WITTER REYNOLDS INSURANCE AGENCY (INDIANA) INC
DUKE ENERGY CORP,"DEGS GASCO, LLC"
KINDER MORGAN INC,"VALLEY OPERATING, INC"
COMCAST CORP,"TURNER BROADCASTING SALES, INC. /"
COMCAST CORP,"TURNER ENTERTAINMENT GROUP, INC/"
KINDER MORGAN INC,DELTA TERMINAL SERVICES LLC
COMCAST CORP,TIME INC. BRAND LICENSING/
COMCAST CORP,"SUPERSTATION, INC/"
DOW CHEMICAL CO,CALVIN CAPITAL LLC
COMCAST CORP,TURNER ENTERTAINMENT NETWORKS INC/
KINDER MORGAN INC,KINDER MORGAN SERVICES LLC
WELLS FARGO & CO,"ABD FINANCIAL SERVICES, INC"
KINDER MORGAN INC,KINDER MORGAN PETCOKE GP LLC
COMCAST CORP,SOUTHERN PROGRESS CORPORATION /
COMCAST CORP,"TURNER NETWORK TELEVISION LP, LLLP/"
COMCAST CORP,"TIME CONSUMER MARKETING, INC/"
RAYTHEON CO,PATRIOT OVERSEAS SUPPORT COMPANY
COMCAST CORP,"TIME4 MEDIA, INC/"
KINDER MORGAN INC,C
COMCAST CORP,SOUTHERN PROGRESS CORPORATION/
3M CO,"SSD, INC"
COMCAST CORP,"WARNER BOOKS, INC. /"
COMCAST CORP,BOOKSPAN PARTNERSHIP /
WELLS FARGO & CO,ROHM AND HAAS HOLDINGS LLC
DUKE ENERGY CORP,"TE SILVER SAGE, LLC"
KINDER MORGAN INC,"STELLMAN TRANSPORTATION, LLC"
COMCAST CORP,"TIME WARNER ENTERTAINMENT COMPANY, L.P/"
COMCAST CORP,TIME  VENTURES LLC/
PROGRESSIVE CORP,PROGRESSIVE SELECT INSURANCE COMPANY
KINDER MORGAN INC,KINDER MORGAN LIQUIDS TERMINALS LLC
KINDER MORGAN INC,GENERAL STEVEDORES HOLDINGS LLC
CITIGROUP INC,"CAI RE MEZZANINE ADVISOR III, LLC"
FLUOR CORP,III FLUOR SUPPLY CHAIN SOLUTIONS INTERNATIONAL LLC
KINDER MORGAN INC,TRITON POWER MICHIGAN LLC
AMERICAN EXPRESS CO,J.& W. SELIGMAN & CO. INCORPORATED
WELLS FARGO & CO,BANK OF SANTA CLARA
KINDER MORGAN INC,INTERNATIONAL MARINE TERMINALS
COMCAST CORP,"COMPUSERVE INTERACTIVE SERVICES, INC/"
KINDER MORGAN INC,"RCI HOLDINGS, INC"
COMCAST CORP,"NEW LINE THEATRICALS, INC/"
KINDER MORGAN INC,"TEJAS NATURAL GAS, LLC"
COMCAST CORP,LIFE INC/
COMCAST CORP,DC COMICS /
KINDER MORGAN INC,SILVER CANYON PIPELINE LLC
COMCAST CORP,TURNER ENTERTAINMENT NETWORKS INC. /
CONOCOPHILLIPS,BURLINGTON RESOURCES TRADING INC/
COMCAST CORP,TIME WARNER CABLE WEST VIRGINIA LLC/
WELLS FARGO & CO,RHEOGENE LLC
COMCAST CORP,TIME WARNER ENTERTAINMENT-ADVANCE/NEWHOUSE PARTNERSHIP /
KINDER MORGAN INC,"ICPT, L.L.C."
COMCAST CORP,"THE WB TELEVISION NETWORK PARTNERS, L.P. /"
COMCAST CORP,BOOKSPAN PARTNERSHIP/
KINDER MORGAN INC,KINDER MORGAN PECOS LLC
COMCAST CORP,"QUACK.COM, INC/"
CONOCOPHILLIPS,BURLINGTON RESOURCES OIL & GAS COMPANY LP/
RAYTHEON CO,EVERYTHINGAIRCRAFT LLC
COMCAST CORP,"LITTLE, BROWN AND COMPANY (INC.) /"
COMCAST CORP,"TURNER BROADCASTING SALES, INC/"
COMCAST CORP,TW UK HOLDINGS INC/
CITIGROUP INC,CITIGROUP GLOBAL MARKETS TAIWAN SECURITIES HOLDINGS LIMITED
COMCAST CORP,AMERICAN TELEVISION AND COMMUNICATIONS CORPORATION /
WELLS FARGO & CO,BANK OF PETALUMA
KINDER MORGAN INC,COLTON PROCESSING FACILITY
WELLS FARGO & CO,"PACIFIC NORTHWEST FINANCIAL SERVICES, INC."
COMCAST CORP,"THIS OLD HOUSE VENTURES, INC/"
WELLS FARGO & CO,MID-PENINSULA CAPITAL LLC
DANAHER CORP,MAXTEK COMPONENTS CORPORATION (OREGON)
COMCAST CORP,WARNER BROS. ANIMATION INC/
KINDER MORGAN INC,RAHWAY RIVER LAND LLC
WELLS FARGO & CO,ROHM AND HAAS DENMARK INVESTMENTS LLC
KINDER MORGAN INC,CALNEV PIPE LINE LLC
FLUOR CORP,III PLANT PERFORMANCE SERVICES INTERNATIONAL LLC
COMCAST CORP,"TURNER BROADCASTING SYSTEM, INC. /"
DANAHER CORP,"TEKTRONIX ASIA, LTD. (OREGON)"
COMCAST CORP,"EVOICE, INC/"
KINDER MORGAN INC,RIVER TERMINALS PROPERTIES GP LLC
COMCAST CORP,BUSINESS 2.0 MEDIA INC/
ECOLAB INC,"MICROTEK MEDICAL, INC"
MORGAN STANLEY,NORTHWEST ELECTRIC GENERATING CORPORATION
MORGAN STANLEY,NANIWA ENERGY LLC
CONOCOPHILLIPS,THE LOUISIANA LAND AND EXPLORATION COMPANY/
COMCAST CORP,TIME WARNER REALTY INC/
COMCAST CORP,"CABLE NEWS NETWORK LP, LLLP /"
KINDER MORGAN INC,GLOBAL AMERICAN TERMINALS LLC
COMCAST CORP,"CNN INVESTMENT COMPANY, INC. /"
COMCAST CORP,WARNER BROS. TECHNICAL OPERATIONS INC/
KINDER MORGAN INC,"TEJAS GAS SYSTEMS, LLC"
COMCAST CORP,WARNER BROS. INTERACTIVE ENTERTAINMENT INC/
WELLS FARGO & CO,MID-PENINSULA BANK
WELLS FARGO & CO,BAY AREA BANK
COMCAST CORP,"TURNER HOME ENTERTAINMENT, INC. /"
KINDER MORGAN INC,"KN TELECOMMUNICATIONS, INC"
WELLS FARGO & CO,"ROHM AND HAAS ASIA, INC"
AMERICAN EXPRESS CO,"COLUMBIA WANGER ASSET MANAGEMENT, LLC"
KINDER MORGAN INC,"DAKOTA BULK TERMINAL, INC"
COMCAST CORP,KANSAS CITY CABLE PARTNERS /
WELLS FARGO & CO,LEARONAL PACIFIC CORP
KINDER MORGAN INC,"JOHNSTON COUNTY TERMINAL, LLC"
COMCAST CORP,WARNER COMMUNICATIONS INC. /
EXXON MOBIL CORP,"TREND GATHERING & TREATING, LP (FORMED IN JANUARY 2006)"
COMCAST CORP,HISTORIC TW INC/
PROGRESSIVE CORP,PROGRESSIVE MOTOR INSURANCE COMPANY
COMCAST CORP,"COMPUSERVE INTERACTIVE SERVICES, INC. /"
WELLS FARGO & CO,"ROHM AND HAAS CHINA, INC"
COMCAST CORP,"TURNER BROADCASTING SYSTEM, INC/"
WELLS FARGO & CO,"IMPERIAL THERMAL PRODUCTS, INC"
ALCOA INC,"KAWNEER COMPANY, INC"
COMCAST CORP,"TIME CUSTOMER SERVICE, INC/"
PFIZER INC,"EP-ET, LLC 100% OWNED SUBSIDIARY A COMPANY"
WELLS FARGO & CO,SILICON VALLEY CHEMICAL LABORATORIES INC
ALCOA INC,INTALCO ALUMINUM CORPORATION
COMCAST CORP,"TURNER ENTERTAINMENT GROUP, INC. /"
DOW CHEMICAL CO,AVC HOLDINGS INC
COMCAST CORP,WARNER PUBLISHER SERVICES INC/
WELLS FARGO & CO,"RODEL, INC"
COMCAST CORP,ERIE TELECOMMUNICATIONS INC. /
WELLS FARGO & CO,"RODEL ASIA, INC"
DOW CHEMICAL CO,DUPONT DOW ELASTOMERS L.L.C.
COMCAST CORP,TIME/WARNER RETAIL SALES & MARKETING INC/
COMCAST CORP,"HBO SERVICES, INC/"
COMCAST CORP,"ATLANTA NATIONAL LEAGUE BASEBALL CLUB, INC. /"
CAREFUSION CORP,VIASYS NEUROCARE MANUFACTURING INC
WELLS FARGO & CO,WACHOVIA AUTO OWNER TRUST 2007-A
COMCAST CORP,PICTUREHOUSE FILMS/
BALL CORP,BALL TECHNOLOGY SERVICES CORPORATION
COMCAST CORP,ROAD RUNNER HOLDCO LLC /
KINDER MORGAN INC,KINDER MORGAN LOUISIANA PIPELINE LLC
COMCAST CORP,"SPINNER NETWORKS, INCORPORATED /"
COMCAST CORP,TIME INC. VENTURES/
ACE LTD,INA CORPORATION
PROGRESSIVE CORP,PROGRESSIVE INSURANCE COMPANY
KINDER MORGAN INC,"AGNES B CRANE, LLC"
DUKE ENERGY CORP,"DEGS OF PARLIN, LLC"
COMCAST CORP,TW NY CABLE HOLDINGS INC
ALCOA INC,"TIFTON ALUMINUM COMPANY, INC"
COMCAST CORP,"MAPQUEST.COM, INC. /"
COMCAST CORP,"CASTLE ROCK ENTERTAINMENT, INC/"
ALCOA INC,"ALCOA LAUDEL, INC"
COMCAST CORP,WB COMMUNICATIONS INC/
KINDER MORGAN INC,KINDER MORGAN TEXAS GAS SERVICES LLC
